CL_bin,WB_bin,text,cnt,Total_kWh mean
"(700.0, 800.0]","(12.0, 12.5]",<b>SID: 100</b><br>    Wet_Bulb: 12.2<br>,10.0,620.0
"(700.0, 800.0]","(15.0, 15.5]",<b>SID: 110</b><br>    Wet_Bulb: 15.4<br>,10.0,568.0
"(700.0, 800.0]","(16.0, 16.5]",<b>SID: 100</b><br>    Wet_Bulb: 16.2<br>,10.0,496.0
"(700.0, 800.0]","(16.5, 17.0]",<b>SID: 110</b><br>    Wet_Bulb: 16.5<br>,10.0,596.0
"(700.0, 800.0]","(17.5, 18.0]",<b>SID: 110</b><br>    Wet_Bulb: 17.8<br>,10.0,524.0
"(700.0, 800.0]","(18.0, 18.5]",<b>SID: 100</b><br>    Wet_Bulb: 18.0<br><b>SID: 110</b><br>    Wet_Bulb: 18.2<br>,10.0,551.0
"(700.0, 800.0]","(18.5, 19.0]",<b>SID: 110</b><br>    Wet_Bulb: 18.8<br>,10.0,548.8
"(700.0, 800.0]","(19.0, 19.5]",<b>SID: 100</b><br>    Wet_Bulb: 19.3<br><b>SID: 110</b><br>    Wet_Bulb: 19.2<br>,10.0,540.5714285714286
"(700.0, 800.0]","(19.5, 20.0]",<b>SID: 100</b><br>    Wet_Bulb: 19.6<br><b>SID: 110</b><br>    Wet_Bulb: 19.9<br>,10.0,554.4
"(700.0, 800.0]","(20.0, 20.5]",<b>SID: 100</b><br>    Wet_Bulb: 20.3<br><b>SID: 110</b><br>    Wet_Bulb: 20.1<br>,10.0,612.6666666666666
"(700.0, 800.0]","(20.5, 21.0]",<b>SID: 100</b><br>    Wet_Bulb: 20.8<br><b>SID: 110</b><br>    Wet_Bulb: 20.8<br>,10.0,625.0
"(700.0, 800.0]","(21.0, 21.5]",<b>SID: 100</b><br>    Wet_Bulb: 21.2<br><b>SID: 110</b><br>    Wet_Bulb: 21.3<br>,10.0,598.6666666666666
"(700.0, 800.0]","(21.5, 22.0]",<b>SID: 011</b><br>    Wet_Bulb: 21.7<br><b>SID: 100</b><br>    Wet_Bulb: 21.9<br><b>SID: 110</b><br>    Wet_Bulb: 21.8<br>,10.0,655.4285714285714
"(700.0, 800.0]","(22.0, 22.5]",<b>SID: 100</b><br>    Wet_Bulb: 22.2<br><b>SID: 110</b><br>    Wet_Bulb: 22.3<br>,10.0,610.0
"(700.0, 800.0]","(22.5, 23.0]",<b>SID: 100</b><br>    Wet_Bulb: 22.7<br><b>SID: 110</b><br>    Wet_Bulb: 22.7<br>,11.0,631.2727272727273
